month,equity_first,equity_last,monthly_return,monthly_return_pct,trade_count,win_count,gross_profit,gross_loss,profit_factor,win_rate,win_rate_pct,setup_group,group_name
2014-11,1000000.0,1000000.0,0.0,0.00%,0,0,0.0,0.0,,,,GOOD_SETUP,A0.DCE
2014-12,1000000.0,1000000.0,0.0,0.00%,0,0,0.0,0.0,,,,GOOD_SETUP,A0.DCE
2015-01,1000000.0,1000000.0,0.0,0.00%,0,0,0.0,0.0,,,,GOOD_SETUP,A0.DCE
2015-02,1000000.0,1000000.0,0.0,0.00%,0,0,0.0,0.0,,,,GOOD_SETUP,A0.DCE
2015-03,1000000.0,1000000.0,0.0,0.00%,0,0,0.0,0.0,,,,GOOD_SETUP,A0.DCE
2015-04,1000000.0,1000000.0,0.0,0.00%,0,0,0.0,0.0,,,,GOOD_SETUP,A0.DCE
2015-05,1000000.0,998378.0,-0.0016220000000000123,-0.16%,0,0,0.0,0.0,,,,GOOD_SETUP,A0.DCE
2015-06,995457.32,995457.32,0.0,0.00%,1,0,0.0,-4934.68,0.0,0.0,0.00%,GOOD_SETUP,A0.DCE
2015-07,995457.32,995457.32,0.0,0.00%,0,0,0.0,0.0,,,,GOOD_SETUP,A0.DCE
2015-08,995457.32,996069.32,0.0006147928069883957,0.06%,0,0,0.0,0.0,,,,GOOD_SETUP,A0.DCE
2015-09,996069.32,996069.32,0.0,0.00%,0,0,0.0,0.0,,,,GOOD_SETUP,A0.DCE
2015-10,996069.32,996069.32,0.0,0.00%,0,0,0.0,0.0,,,,GOOD_SETUP,A0.DCE
2015-11,996069.32,996069.32,0.0,0.00%,0,0,0.0,0.0,,,,GOOD_SETUP,A0.DCE
2015-12,996069.32,996069.32,0.0,0.00%,0,0,0.0,0.0,,,,GOOD_SETUP,A0.DCE
2016-01,996069.32,996069.32,0.0,0.00%,0,0,0.0,0.0,,,,GOOD_SETUP,A0.DCE
2016-02,996069.32,996069.32,0.0,0.00%,0,0,0.0,0.0,,,,GOOD_SETUP,A0.DCE
2016-03,996069.32,996069.32,0.0,0.00%,0,0,0.0,0.0,,,,GOOD_SETUP,A0.DCE
2016-04,996069.32,996069.32,0.0,0.00%,0,0,0.0,0.0,,,,GOOD_SETUP,A0.DCE
2016-05,996069.32,996069.32,0.0,0.00%,0,0,0.0,0.0,,,,GOOD_SETUP,A0.DCE
2016-06,996069.32,996069.32,0.0,0.00%,0,0,0.0,0.0,,,,GOOD_SETUP,A0.DCE
2016-07,996069.32,996069.32,0.0,0.00%,0,0,0.0,0.0,,,,GOOD_SETUP,A0.DCE
2016-08,996069.32,995517.32,-0.000554178297550667,-0.06%,0,0,0.0,0.0,,,,GOOD_SETUP,A0.DCE
2016-09,995517.32,995517.32,0.0,0.00%,0,0,0.0,0.0,,,,GOOD_SETUP,A0.DCE
2016-10,995517.32,995057.32,-0.00046207131785513944,-0.05%,1,0,0.0,-460.0,0.0,0.0,0.00%,GOOD_SETUP,A0.DCE
2016-11,995057.32,995057.32,0.0,0.00%,0,0,0.0,0.0,,,,GOOD_SETUP,A0.DCE
2016-12,995057.32,995117.32,6.029803388618582e-05,0.01%,1,0,0.0,-270.0,0.0,0.0,0.00%,GOOD_SETUP,A0.DCE
2017-01,995117.32,995117.32,0.0,0.00%,0,0,0.0,0.0,,,,GOOD_SETUP,A0.DCE
2017-02,995117.32,995117.32,0.0,0.00%,0,0,0.0,0.0,,,,GOOD_SETUP,A0.DCE
2017-03,995117.32,995117.32,0.0,0.00%,0,0,0.0,0.0,,,,GOOD_SETUP,A0.DCE
2017-04,995117.32,995117.32,0.0,0.00%,0,0,0.0,0.0,,,,GOOD_SETUP,A0.DCE
2017-05,995117.32,995117.32,0.0,0.00%,0,0,0.0,0.0,,,,GOOD_SETUP,A0.DCE
2017-06,995117.32,995117.32,0.0,0.00%,0,0,0.0,0.0,,,,GOOD_SETUP,A0.DCE
2017-07,995117.32,995117.32,0.0,0.00%,0,0,0.0,0.0,,,,GOOD_SETUP,A0.DCE
2017-08,995117.32,995117.32,0.0,0.00%,0,0,0.0,0.0,,,,GOOD_SETUP,A0.DCE
2017-09,995117.32,995117.32,0.0,0.00%,0,0,0.0,0.0,,,,GOOD_SETUP,A0.DCE
2017-10,995117.32,995117.32,0.0,0.00%,0,0,0.0,0.0,,,,GOOD_SETUP,A0.DCE
2017-11,995117.32,995117.32,0.0,0.00%,0,0,0.0,0.0,,,,GOOD_SETUP,A0.DCE
2017-12,995117.32,995117.32,0.0,0.00%,0,0,0.0,0.0,,,,GOOD_SETUP,A0.DCE
2018-01,995117.32,995117.32,0.0,0.00%,0,0,0.0,0.0,,,,GOOD_SETUP,A0.DCE
2018-02,995117.32,995117.32,0.0,0.00%,0,0,0.0,0.0,,,,GOOD_SETUP,A0.DCE
2018-03,995117.32,995117.32,0.0,0.00%,0,0,0.0,0.0,,,,GOOD_SETUP,A0.DCE
2018-04,995117.32,995117.32,0.0,0.00%,0,0,0.0,0.0,,,,GOOD_SETUP,A0.DCE
2018-05,995117.32,995117.32,0.0,0.00%,0,0,0.0,0.0,,,,GOOD_SETUP,A0.DCE
2018-06,995117.32,995117.32,0.0,0.00%,0,0,0.0,0.0,,,,GOOD_SETUP,A0.DCE
2018-07,995117.32,995117.32,0.0,0.00%,0,0,0.0,0.0,,,,GOOD_SETUP,A0.DCE
2018-08,995117.32,995117.32,0.0,0.00%,0,0,0.0,0.0,,,,GOOD_SETUP,A0.DCE
2018-09,995117.32,995117.32,0.0,0.00%,0,0,0.0,0.0,,,,GOOD_SETUP,A0.DCE
2018-10,995117.32,995117.32,0.0,0.00%,0,0,0.0,0.0,,,,GOOD_SETUP,A0.DCE
