month,equity_first,equity_last,monthly_return,monthly_return_pct,trade_count,win_count,gross_profit,gross_loss,profit_factor,win_rate,win_rate_pct,setup_group,group_name
2022-04,995497.14,995497.14,0.0,0.00%,0,0,0.0,0.0,,,,GOOD_SETUP,BC0.INE
2022-05,995497.14,995497.14,0.0,0.00%,0,0,0.0,0.0,,,,GOOD_SETUP,BC0.INE
2022-06,995497.14,995497.14,0.0,0.00%,0,0,0.0,0.0,,,,GOOD_SETUP,BC0.INE
2022-07,995497.14,995497.14,0.0,0.00%,0,0,0.0,0.0,,,,GOOD_SETUP,BC0.INE
2022-08,995497.14,995497.14,0.0,0.00%,0,0,0.0,0.0,,,,GOOD_SETUP,BC0.INE
2022-09,995497.14,995497.14,0.0,0.00%,0,0,0.0,0.0,,,,GOOD_SETUP,BC0.INE
2022-10,995497.14,995497.14,0.0,0.00%,0,0,0.0,0.0,,,,GOOD_SETUP,BC0.INE
2022-11,995497.14,995497.14,0.0,0.00%,0,0,0.0,0.0,,,,GOOD_SETUP,BC0.INE
2022-12,995497.14,995497.14,0.0,0.00%,0,0,0.0,0.0,,,,GOOD_SETUP,BC0.INE
2023-01,995497.14,994187.14,-0.0013159254279726529,-0.13%,0,0,0.0,0.0,,,,GOOD_SETUP,BC0.INE
2023-02,994187.14,994187.14,0.0,0.00%,0,0,0.0,0.0,,,,GOOD_SETUP,BC0.INE
2023-03,994187.14,994187.14,0.0,0.00%,0,0,0.0,0.0,,,,GOOD_SETUP,BC0.INE
2023-04,994187.14,994187.14,0.0,0.00%,0,0,0.0,0.0,,,,GOOD_SETUP,BC0.INE
2023-05,994187.14,994187.14,0.0,0.00%,0,0,0.0,0.0,,,,GOOD_SETUP,BC0.INE
2023-06,994187.14,994187.14,0.0,0.00%,0,0,0.0,0.0,,,,GOOD_SETUP,BC0.INE
2023-07,994187.14,994187.14,0.0,0.00%,0,0,0.0,0.0,,,,GOOD_SETUP,BC0.INE
2023-08,994187.14,994187.14,0.0,0.00%,0,0,0.0,0.0,,,,GOOD_SETUP,BC0.INE
2023-09,994187.14,994187.14,0.0,0.00%,0,0,0.0,0.0,,,,GOOD_SETUP,BC0.INE
2023-10,994187.14,994187.14,0.0,0.00%,0,0,0.0,0.0,,,,GOOD_SETUP,BC0.INE
2023-11,994187.14,994187.14,0.0,0.00%,0,0,0.0,0.0,,,,GOOD_SETUP,BC0.INE
2023-12,994187.14,994187.14,0.0,0.00%,0,0,0.0,0.0,,,,GOOD_SETUP,BC0.INE
2021-02,1000000.0,998030.0,-0.0019700000000000273,-0.20%,0,0,0.0,0.0,,,,NORMAL_SETUP,BC0.INE
2021-03,997310.0,997310.0,0.0,0.00%,1,0,0.0,-2690.0,0.0,0.0,0.00%,NORMAL_SETUP,BC0.INE
2021-04,997310.0,999700.0,0.00239644644092607,0.24%,1,1,2390.0,0.0,inf,1.0,100.00%,NORMAL_SETUP,BC0.INE
2021-05,999700.0,996137.14,-0.0035639291787535887,-0.36%,0,0,0.0,0.0,,,,NORMAL_SETUP,BC0.INE
2021-06,996137.14,996137.14,0.0,0.00%,0,0,0.0,0.0,,,,NORMAL_SETUP,BC0.INE
2021-07,996137.14,996137.14,0.0,0.00%,0,0,0.0,0.0,,,,NORMAL_SETUP,BC0.INE
2021-08,996137.14,996137.14,0.0,0.00%,0,0,0.0,0.0,,,,NORMAL_SETUP,BC0.INE
2021-09,996137.14,996137.14,0.0,0.00%,0,0,0.0,0.0,,,,NORMAL_SETUP,BC0.INE
2021-10,996137.14,996137.14,0.0,0.00%,1,0,0.0,0.0,,0.0,0.00%,NORMAL_SETUP,BC0.INE
2021-11,996137.14,996137.14,0.0,0.00%,0,0,0.0,0.0,,,,NORMAL_SETUP,BC0.INE
2021-12,996137.14,996137.14,0.0,0.00%,0,0,0.0,0.0,,,,NORMAL_SETUP,BC0.INE
2022-01,996137.14,995437.14,-0.0007027144876858848,-0.07%,1,0,0.0,-700.0,0.0,0.0,0.00%,NORMAL_SETUP,BC0.INE
2022-02,995437.14,995437.14,0.0,0.00%,0,0,0.0,0.0,,,,NORMAL_SETUP,BC0.INE
2022-03,995437.14,995497.14,6.027502650751693e-05,0.01%,1,1,60.0,0.0,inf,1.0,100.00%,NORMAL_SETUP,BC0.INE
2022-04,995497.14,995497.14,0.0,0.00%,0,0,0.0,0.0,,,,NORMAL_SETUP,BC0.INE
2022-05,995497.14,995497.14,0.0,0.00%,0,0,0.0,0.0,,,,NORMAL_SETUP,BC0.INE
2022-06,995497.14,995497.14,0.0,0.00%,0,0,0.0,0.0,,,,NORMAL_SETUP,BC0.INE
2022-07,995497.14,995497.14,0.0,0.00%,0,0,0.0,0.0,,,,NORMAL_SETUP,BC0.INE
2022-08,995497.14,995497.14,0.0,0.00%,0,0,0.0,0.0,,,,NORMAL_SETUP,BC0.INE
2022-09,995497.14,995497.14,0.0,0.00%,0,0,0.0,0.0,,,,NORMAL_SETUP,BC0.INE
2022-10,995497.14,995497.14,0.0,0.00%,0,0,0.0,0.0,,,,NORMAL_SETUP,BC0.INE
2022-11,995497.14,995497.14,0.0,0.00%,0,0,0.0,0.0,,,,NORMAL_SETUP,BC0.INE
2022-12,995497.14,995497.14,0.0,0.00%,0,0,0.0,0.0,,,,NORMAL_SETUP,BC0.INE
2023-01,995497.14,994187.14,-0.0013159254279726529,-0.13%,1,0,0.0,-1310.0,0.0,0.0,0.00%,NORMAL_SETUP,BC0.INE
2023-02,994187.14,994187.14,0.0,0.00%,0,0,0.0,0.0,,,,NORMAL_SETUP,BC0.INE
2023-03,994187.14,994187.14,0.0,0.00%,0,0,0.0,0.0,,,,NORMAL_SETUP,BC0.INE
2023-04,994187.14,994187.14,0.0,0.00%,0,0,0.0,0.0,,,,NORMAL_SETUP,BC0.INE
2023-05,994187.14,994187.14,0.0,0.00%,0,0,0.0,0.0,,,,NORMAL_SETUP,BC0.INE
2023-06,994187.14,994187.14,0.0,0.00%,0,0,0.0,0.0,,,,NORMAL_SETUP,BC0.INE
2023-07,994187.14,994187.14,0.0,0.00%,0,0,0.0,0.0,,,,NORMAL_SETUP,BC0.INE
2023-08,994187.14,994187.14,0.0,0.00%,0,0,0.0,0.0,,,,NORMAL_SETUP,BC0.INE
2023-09,994187.14,994187.14,0.0,0.00%,0,0,0.0,0.0,,,,NORMAL_SETUP,BC0.INE
2023-10,994187.14,994187.14,0.0,0.00%,0,0,0.0,0.0,,,,NORMAL_SETUP,BC0.INE
2023-11,994187.14,994187.14,0.0,0.00%,0,0,0.0,0.0,,,,NORMAL_SETUP,BC0.INE
2023-12,994187.14,994187.14,0.0,0.00%,0,0,0.0,0.0,,,,NORMAL_SETUP,BC0.INE
